Cód Município,Tp Empresa,Nat Jurídica,Pop Total,Perdas Fat,Perdas Dist,Tarifa méd,Ext rede água,Ext rede esgotos,Empregados,Código do município,Município,UF,Empresa,At Água,At Esgoto,Novas Lig Água,Novas Lig Esgoto,Ev Perdas Fat,Ev Perdas Dist,Esg Tratado,Investimento,Eficiencia_DEA
330170,Pública,SEMAPubl,886917,65.95,38.77,3.58,1299.9,675.0,1840,330170,Duque de Caxias,RJ,CEDAE,86.4,44.44,0.0,0.42,0.36,4.61,3.89,78.2,70.89
240810,Pública,SEMAPubl,877662,45.0,54.22,3.82,1611.47,869.38,7170,240810,Natal,RN,CAERN,91.6,38.17,16.25,1.3,11.51,1.19,29.0,211.28,61.03
500270,Privada,Privada,863982,12.96,19.42,4.89,3906.0,2111.0,5580,500270,Campo Grande,MS,AG,99.8,78.9,93.75,18.06,5.8,0.0,58.38,647.95,86.94
221100,Pública,SEMAPubl,847430,40.73,47.54,3.19,1619.1,481.57,8080,221100,Teresina,PI,AGESPISA,99.5,24.92,90.2,6.48,0.0,8.0,14.63,47.57,89.11
354870,Pública,SEMAPubl,822242,31.68,40.9,3.57,1965.71,1216.04,3240,354870,São Bernardo do Campo,SP,SABESP,100.0,96.69,100.0,47.11,1.65,0.0,27.34,350.1,75.29
250750,Pública,SEMAPubl,801718,36.41,40.28,3.8,1020.22,638.14,8310,250750,João Pessoa,PB,CAGEPA,100.0,75.06,100.0,22.02,1.01,0.0,78.78,190.68,79.05
330350,Pública,SEMAPubl,797435,64.01,43.14,3.57,739.49,560.0,3030,330350,Nova Iguaçu,RJ,CEDAE,93.8,45.58,0.0,0.0,0.0,0.0,0.0,160.83,76.46
354780,Pública,Autarquia,712749,40.95,39.7,3.72,1886.75,1250.59,1135,354780,Santo André,SP,SEMASA,99.9,98.77,96.03,100.0,0.0,0.0,42.24,37.62,100.0
353440,Pública,SEMAPubl,696382,34.16,44.91,3.06,1181.47,753.45,2650,353440,Osasco,SP,SABESP,100.0,85.28,100.0,21.19,0.0,0.0,24.99,192.71,88.78
354990,Pública,SEMAPubl,695992,26.29,35.51,2.7,1289.75,896.49,3360,354990,São José dos Campos,SP,SABESP,100.0,99.35,100.0,80.82,0.0,1.25,92.2,380.51,100.0
260790,Pública,SEMAPubl,691125,33.15,47.86,2.14,1130.72,227.49,1260,260790,Jaboatão dos Guararapes,PE,COMPESA,75.8,19.37,0.0,9.68,8.7,2.92,13.62,59.31,95.48
354340,Pública,Autarquia,674405,66.51,61.48,3.19,1876.1,1848.78,8980,354340,Ribeirão Preto,SP,DAERP,99.7,98.28,53.5,100.0,0.0,0.0,89.23,171.74,89.95
317020,Pública,Autarquia,669672,20.2,25.2,1.69,3206.0,2571.0,8370,317020,Uberlândia,MG,DMAE,100.0,100.0,100.0,37.21,11.63,1.33,76.44,266.05,1105.49
311860,Pública,SEMAPubl,653800,45.82,47.37,4.16,1966.34,1214.61,4490,311860,Contagem,MG,COPASA,89.2,80.95,5.29,9.42,0.0,0.0,64.61,355.82,56.59
355220,Pública,Autarquia,652481,34.36,40.95,3.11,1952.22,1351.67,1118,355220,Sorocaba,SP,SAAE,99.5,97.1,60.74,60.95,4.53,0.84,76.95,59.93,100.0
280030,Pública,SEMAPubl,641523,22.6,33.45,4.69,1573.07,687.7,7220,280030,Aracaju,SE,DESO,99.3,48.48,85.46,17.0,30.05,19.47,51.05,358.26,67.16
291080,Pública,SEMAPubl,622639,21.9,43.65,3.07,2205.65,596.85,2610,291080,Feira de Santana,BA,EMBASA,100.0,63.03,54.93,12.87,18.38,10.11,80.39,202.84,88.89
510340,Privada,Privada,585367,57.09,59.22,3.79,2523.0,905.0,6840,510340,Cuiabá,MT,CAB Cuiabá,100.0,52.26,52.12,0.48,0.0,7.02,30.9,582.67,63.39
420910,Pública,SEMAPubl,569645,41.48,47.99,3.96,2148.61,542.3,3620,420910,Joinville,SC,CAJ,98.9,30.94,60.88,0.9,1.62,0.92,22.96,227.71,70.73
313670,Pública,Pública,559636,29.64,31.52,3.15,1850.89,1355.87,6430,313670,Juiz de Fora,MG,CESAMA,96.1,95.01,31.42,35.44,0.0,1.8,6.88,213.41,78.66
411370,Pública,SEMAPriv,553393,39.57,34.9,3.65,1970.87,1778.24,5150,411370,Londrina,PR,SANEPAR,100.0,99.99,98.38,100.0,0.0,0.0,89.23,296.32,75.33
520140,Pública,SEMAPubl,532135,26.9,24.99,5.19,2280.26,449.68,3220,520140,Aparecida de Goiânia,GO,SANEAGO,76.1,24.96,15.43,3.1,2.25,2.67,27.44,275.63,73.09
110020,Pública,SEMAPubl,511219,69.77,70.88,4.78,939.0,70.17,3470,110020,Porto Velho,RO,CAERD,36.3,3.38,11.28,0.0,0.0,0.0,1.54,15.32,60.45
150080,Pública,SEMAPubl,510834,42.8,48.3,2.27,438.04,12.22,1030,150080,Ananindeua,PA,COSANPA,30.1,0.75,2.52,0.0,0.0,0.0,0.91,16.52,100.0
330330,Privada,Privada,497883,18.75,33.1,4.52,1308.6,748.4,6280,330330,Niterói,RJ,CAN,100.0,94.78,100.0,17.47,0.0,0.0,100.0,158.77,72.03
