;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;RANKING DO SANEAMENTO BÁSICO - 100 MAIORES CIDADES (SNIS 2016);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código do município;Município;UF;Ranking 2018;Ranking 2017;Delta;População Total (IBGE);Operador;Indicador de atendimento total de água (%);Nota atendimento total de água (máx. 0,5);Indicador de atendimento urbano de água (%);Nota atendimento urbano de água (máx. 0,5);Indicador de atendimento total de esgoto (%);Nota atendimento total de esgoto (máx. 1,25);Indicador de atendimento urbano de esgoto (%);Nota atendimento urbano de esgoto (máx. 1,25);Indicador de esgoto tratado por água consumida (%);Nota esgoto tratato por água consumida (máx. 2,5);Investimento 5 anos (Milhões R$);Arrecadação 5 anos (Milhões R$);Indicador de investimento/arrecadação (%);Nota investimento/receita (máx. 1);Novas ligações água;Ligações faltantes para universalização;Indicador novas ligações de água/ligações faltantes (%);Nota novas ligações água/ligações faltantes (máx 0,5);Novas ligações esgoto;Ligações faltantes para universalização;Indicador novas ligações de esgoto/ligações faltantes (%);Nota novas ligações esgoto/ligações faltantes (máx. 1);Indicador perdas no faturamento 2016 (%);Nota perdas no faturamento (máx. 0,5);Indicador perdas no faturamento 2015 (%);Indicador evolução nas perdas de faturamento (%);Nota evolução nas perdas de faturamento (máx. 0,25);Indicador perdas na distribuição 2016 (%);Nota perdas na distribuição (máx. 0,5);Indicador perdas na distribuição 2015 (%);Indicador evolução nas perdas de distribuição (%);Nota evolução nas perdas na distribuição (máx. 0,25);Nota Total (máx. 10);Tarifa média (R$/m³);;;;;;;;;;;;;;;
431490;Porto Alegre;RS;31;24;-7; 	1.481.019 ;DMAE;100,00;0,50;100,00;0,50;89,99;1,15;89,99;1,15;53,54;1,67;613,16;2623,30;23,37;0,50; 	3.342 ; 	3.342 ;100,00;0,50; 	5.291 ; 	26.664 ; 	19,84 ;1,00;45,93;0,16;43,26;0,00;0,00;24,98;0,30;16,95;0,00;0,00;7,44;3,67;;;;;;;;;;;;;;;
353060;Mogi das Cruzes;SP;32;29;-3; 	429.321 ;SEMAE;90,30;0,45;98,00;0,49;85,79;1,09;93,10;1,19;70,09;2,19;77,04;708,68;10,87;0,23; 	4.529 ; 	18.768 ;24,13;0,12; 	3.511 ; 	20.257 ; 	17,33 ;1,00;30,05;0,25;45,22;33,54;0,25;48,73;0,15;48,83;0,20;0,01;7,44;2,66;;;;;;;;;;;;;;;
172100;Palmas;TO;33;N/D;N/D; 	279.856 ;SANEATINS;97,44;0,49;97,00;0,49;69,27;0,88;67,62;0,86;35,90;1,12;276,70;549,06;50,39;1,00; 	3.548 ; 	6.293 ;56,38;0,28; 	11.834 ; 	41.472 ; 	28,53 ;1,00;31,29;0,24;34,19;8,50;0,25;13,05;0,50;42,59;69,35;0,25;7,36;0,00;;;;;;;;;;;;;;;
330100;Campos dos Goytacazes;RJ;34;34;0; 	487.186 ;CAP;95,00;0,47;100,00;0,50;81,27;1,04;90,00;1,15;61,98;1,94;117,62;754,46;15,59;0,34; 	4.544 ; 	11.323 ;40,13;0,20; 	6.570 ; 	21.600 ; 	30,42 ;1,00;32,72;0,23;28,56;0,00;0,00;41,13;0,18;44,01;6,53;0,25;7,29;5,02;;;;;;;;;;;;;;;
530010;Brasília;DF;35;28;-7; 	2.977.216 ;CAESB;99,06;0,50;99,10;0,50;85,23;1,09;85,23;1,09;84,42;2,17;878,80;7850,42;11,19;0,24; 	14.743 ; 	21.528 ;68,48;0,34; 	15.172 ; 	122.304 ; 	12,41 ;0,79;24,80;0,30;25,02;0,88;0,05;35,21;0,21;35,19;0,00;0,00;7,28;4,74;;;;;;;;;;;;;;;
314330;Montes Claros;MG;36;40;4; 	398.288 ;COPASA;83,48;0,42;87,70;0,44;82,68;1,05;86,88;1,11;77,72;2,11;111,85;553,80;20,20;0,44; 	3.291 ; 	29.093 ;11,31;0,06; 	4.327 ; 	28.560 ; 	15,15 ;0,97;36,78;0,20;33,56;0,00;0,00;39,37;0,19;39,87;1,26;0,09;7,07;3,78;;;;;;;;;;;;;;;
250750;João Pessoa;PB;37;42;5; 	801.718 ;CAGEPA;100,00;0,50;100,00;0,50;74,78;0,95;75,06;0,96;78,78;1,91;190,68;1310,24;14,55;0,31; 	16.390 ; 	16.390 ;100,00;0,50; 	11.866 ; 	53.884 ; 	22,02 ;1,00;39,59;0,19;40,00;1,01;0,06;40,28;0,19;37,54;0,00;0,00;7,07;3,80;;;;;;;;;;;;;;;
430510;Caxias do Sul;RS;38;37;-1; 	479.236 ;SAMAE;97,75;0,49;100,00;0,50;90,29;1,15;93,77;1,20;38,36;1,20;259,57;991,54;26,18;0,56; 	2.275 ; 	5.314 ;42,81;0,21; 	1.608 ; 	11.757 ; 	13,68 ;0,87;52,22;0,14;54,21;3,66;0,22;38,61;0,19;41,02;5,87;0,25;6,99;5,25;;;;;;;;;;;;;;;
330455;Rio de Janeiro;RJ;39;56;17; 	6.498.837 ;CEDAE / FABZO;99,02;0,50;99,00;0,50;85,16;1,09;85,16;1,09;44,51;1,39;1922,68;14699,43;13,08;0,28; 	20.787 ; 	35.365 ;58,78;0,29; 	28.681 ; 	165.871 ; 	17,29 ;1,00;54,95;0,14;55,42;0,84;0,05;25,36;0,30;26,39;3,90;0,25;6,86;4,10;;;;;;;;;;;;;;;
351380;Diadema;SP;40;43;3; 	415.180 ;SANED;100,00;0,50;100,00;0,50;94,00;1,20;94,00;1,20;21,98;0,69;60,02;591,32;10,15;0,22; 	2.368 ; 	2.368 ;100,00;0,50; 	2.140 ; 	6.782 ; 	31,55 ;1,00;22,76;0,33;26,64;14,58;0,25;39,22;0,19;43,16;9,13;0,25;6,82;2,82;;;;;;;;;;;;;;;
